number,target,threshold,prob,mean_er,stddev_er,mean_em,stddev_em
0,em,158,0.0,0.0,0.0,0.0,0.0
10,em,158,0.005,11.14106399999999,10.510027663707849,54.4941179999999,37.66430896397925
20,em,158,0.021,12.659328000000004,10.984368474355556,85.71553200000002,36.05070793378357
30,em,158,0.046,13.451831999999978,11.944257587467574,103.41015299999987,33.68252501327073
40,em,158,0.074,14.718023999999975,12.014287526417279,114.96958199999993,31.515285169538096
50,em,158,0.114,14.807448000000022,12.449677111286709,123.72248699999969,28.347209536601138
60,em,158,0.163,16.130663999999996,12.00843051089962,131.13972899999976,27.872163717509302
70,em,158,0.192,16.633512,12.703369241971092,136.06979400000006,28.326793464802105
80,em,158,0.215,17.56339199999998,12.639907068579983,140.41944000000007,25.31732140706035
90,em,158,0.26,18.674711999999992,13.218187286502538,143.00451900000004,25.480207700990857
100,em,158,0.303,19.845647999999997,13.203818903487603,146.39612400000016,24.981707086917673
110,em,158,0.328,20.65175999999998,13.121849599138116,149.30754299999995,24.005021328507453
120,em,158,0.356,21.754007999999992,13.758841630309451,150.89262300000007,25.29706524553353
130,em,158,0.41,22.079952000000002,13.341665752584909,153.41010300000013,24.560603484814738
140,em,158,0.443,23.27032799999996,13.959386180932807,156.48236099999988,25.371501667552025
150,em,158,0.47,24.953831999999974,14.26412594573449,157.56161400000002,25.3272738777967
160,em,158,0.493,25.102871999999987,14.548211603891945,159.82501499999987,24.839730883500007
170,em,158,0.533,25.761887999999978,14.148682899671508,160.42408200000014,23.100941042717654
180,em,158,0.523,26.641872000000003,13.794807550075282,161.14669200000034,23.781749874618516
190,em,158,0.532,26.996328000000016,13.72123863404518,161.45438400000012,22.96151002774977
200,em,158,0.57,28.159487999999953,13.997430945779138,162.80869499999991,23.95730256418425
210,em,158,0.598,29.241647999999977,14.352989712951642,165.01848300000003,23.20230973902449
220,em,158,0.635,29.446415999999992,14.80977930919103,166.95787499999997,24.682458630113516
230,em,158,0.66,30.584952000000012,14.65914930975513,168.22360800000024,24.914211293961014
240,em,158,0.673,30.27650399999997,13.914813948953299,168.16766400000012,23.69370218895628
250,em,158,0.681,32.17190400000002,14.170088731083615,168.53596200000013,23.17754876902271
