number,target0,threshold0,clip0,target1,clip1,prob0,mean0,stddev0,prob1,mean1,stddev1,prob_joined
0,er,158,5.0,em,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,er,158,5.0,em,0.0,0.0,16.37690399999999,11.034138044395926,0.002,35.23539599999997,34.61001607268027,0.0
20,er,158,5.0,em,0.0,0.0,25.82928000000001,11.886807155228828,0.003,37.59902999999999,34.09139100378718,0.0
30,er,158,5.0,em,0.0,0.0,32.65207200000002,11.28866735920656,0.0,33.198101999999956,31.948090744199348,0.0
40,er,158,5.0,em,0.0,0.001,37.06495199999997,11.08889512934882,0.0,31.018617000000013,32.82365442677444,0.0
50,er,158,5.0,em,0.0,0.001,41.105231999999965,11.573317080343825,0.002,32.16080699999996,32.360274128501324,0.0
60,er,158,5.0,em,0.0,0.008,43.259832,11.999499444384066,0.0,31.300667999999984,31.887263457966647,0.0
70,er,158,5.0,em,0.0,0.013,46.297655999999975,12.354680227738168,0.004,29.75288399999995,31.32089540524898,0.0
80,er,158,5.0,em,0.0,0.008,48.177504,11.792761415460792,0.0,29.634003,29.4676231139702,0.0
90,er,158,5.0,em,0.0,0.011,49.58366399999994,11.76600414410558,0.001,31.256378999999963,31.466230991864315,0.0
100,er,158,5.0,em,0.0,0.024,52.41023999999989,12.643634124665756,0.002,30.755213999999963,31.16699234815907,0.0
110,er,158,5.0,em,0.0,0.024,53.94664799999999,12.388194110043147,0.001,29.009294999999966,29.434630391665788,0.0
120,er,158,5.0,em,0.0,0.036,55.72475999999988,12.615529464846695,0.003,29.45684699999997,30.696998297155886,0.0
130,er,158,5.0,em,0.0,0.055,57.36808799999993,12.985199532708961,0.001,28.564073999999955,30.75096016966829,0.0
140,er,158,5.0,em,0.0,0.054,57.981095999999866,12.785968957838321,0.003,30.130505999999937,30.184652106459126,0.0
150,er,158,5.0,em,0.0,0.061,59.299775999999945,12.63224197163084,0.0,30.039596999999976,29.986141193501226,0.0
160,er,158,5.0,em,0.0,0.074,60.491447999999984,13.262991332550481,0.001,31.065236999999986,29.26385258080058,0.0
170,er,158,5.0,em,0.0,0.091,62.18791199999991,12.937625317509932,0.002,29.554748999999983,29.39297268644325,0.0
180,er,158,5.0,em,0.0,0.105,62.74778399999991,13.240070581736669,0.002,28.822815000000002,28.94889677902727,0.001
190,er,158,5.0,em,0.0,0.13,64.75982399999987,12.751318841321934,0.001,30.407894999999964,30.199449950752,0.0
200,er,158,5.0,em,0.0,0.138,65.05401599999992,13.538801815218505,0.004,29.624678999999958,30.553739240786253,0.001
210,er,158,5.0,em,0.0,0.16,66.87489599999996,13.582537487715474,0.002,29.081555999999974,28.116288164671776,0.0
